Heading,Question,Answer
Account,How does BillEase work?,"BillEase is your online and hassle-free shopping partner that allows you to shop and pay at a later time. All you have to do is to submit an application form, wait for our approval. Once approved, an initial credit limit will be established, which can be used to purchase from our 4,000+ merchant partners."
Account,How do I make payments?,Read more about the hassle-free BillEase payment options here: 5 ways to pay your BillEase installment
Account,How can I apply for BillEase installment plan?,"Easy - simply download our app from Apple App Store or Google Play Store and sign up for a BillEase account. Once approved, an initial credit limit will be established, which can be used to purchase from our 3,000+ merchant partners."
Account,How long is your processing time?,Fast - We want you to enjoy your shopping experience as soon as possible. Approval can be immediate or up to one day depending on your submitted documents. The key is submitting complete and clear documents and valid IDs. Just make sure you submit your online application before 6:00 PM because any applications beyond that will be considered as next day submission. All applications submitted after 8:00 AM on a Sunday will be processed together with all the Monday applications on Tuesday. This allows our credit team to fully verify the information you provided and make better credit evaluation for everybody.
Account,What are the requirements to avail BillEase installment plan?,"If you are at least 18 years old and have a stable source of income, you are welcome to apply! In addition, we will also ask for your latest proof of income, proof of billing and one valid government ID to verify the information. Examples of accepted proof of income: payslips, screenshots of bank transaction history, Upwork certificate of employment, Paypal transaction history, remittance slips, etc. Examples of accepted proof of billing: Meralco bill (preferred), credit card bill, water bill, cable TV bill, post paid plan bill, etc."
Account,I do not have a proof of billing under my name. Can I still apply?,"Yes, it is okay if the proof of billing is not under your name. As long as it is recent and has your home address, it will work."
Account,Do I need a credit card to apply?,"No, you do not need a credit card to be eligible for our installment plan."
Account,How will I know if my application is approved?,"We don't want to keep you waiting; we will send you an e-mail as soon as your application is approved. On the other hand, we will also notify you in case of non-approval through e-mail."
Account,Does the Lazada Wallet funds expire?,Good news: The Lazada Wallet funds do not expire! You can use it to buy your Lazada purchases anytime you want.
Account,How can I delete my BillEase account?,"Before initiating the account deletion process, make sure that all your outstanding loans have been settled. Please note that once an account is deleted, it's irreversible, and in most cases, reactivation isn't an option. If you think you might need BillEase's services in the future, it's a good idea to keep your account active with minimal activity. Should you decide to proceed with the account deletion, please contact our Customer Support team through this chat link to assist you. We might need a few details to verify your identity, so keep them handy. To learn more about our data retention policy, please check here."
Account,Should I use my Lazada Wallet funds in one transaction or can I save some balance for later?,You can use your Lazada Wallet funds in more than one transaction as long as your balance is enough to cover the amount you want to purchase.
Account,"I am a freelancer, can I still apply?","No, we do not require a comaker or references as part of the installment application."
Account,What if my Lazada order is returned/cancelled?,"Yes! Freelancers are welcome to apply, as long as you meet the requirements. Please prepare proof of of source of income (such as PayPal transaction history, Upwork Certificate of Employment, bank transaction history, etc.) as part of the application process."
Account,What if the item I would like to purchase is out of stock?,"For Lazada: If and when your Lazada order is returned or canceled, Lazada will automatically begin to process your refund. Once processed, your refund will be deposited to your activated Lazada E-Wallet under the ""Rebates"" section. But remember, all funds disbursed to your Lazada E-Wallet through BillEase Top-up are considered final and good as cash. The amount and schedule of your repayments will not change due to returned or canceled orders. For other partner merchants: BillEase will refund any and all payments made due to merchant initiated returns and canceled orders, as soon as the merchant informs us. Please allow our team 1-2 banking days to process your refund."
Account,Can I pay early?,"If and when your Lazada order gets returned or canceled, Lazada will automatically begin to process your refund. This refund, once processed, will be deposited to your activated Lazada Wallet under the Rebates section. Refunds made with Lazada Wallet is fast and efficient. According to Lazada, you can receive your refund in less than 24hrs after cancellation is finalized or the returned item is received and processed in their warehouse. But remember: all funds disbursed through BillEase Top-Up are considered final and as good as cash. Therefore, the amount and schedule of your repayments will not be affected by any returned or canceled orders."
Account,What if I cannot pay on the due date?,"If you prefer paying via payment requests (coins.ph, PalawanPay, M Lhuillier, and Cebuana Lhuillier): Simply send us an email at [email protected] and let us know the amount you would like to pay for. We will then send you a payment request, which you can use to make an early payment. Note: payment requests for early payments are only valid within the day. If you prefer paying via bank transfer: You can make early payments directly to BillEase's bank accounts. Afterwards, send a copy of your deposit slip or a screenshot of your transfer to [email protected] and wait for our confirmation."
Account,What are the benefits of using my BillEase account and paying my installments on time?,"If you are having financial difficulties and cannot make payments on time, please contact us and we will try to work out a payment schedule that works for you. Our only request is that you inform us before or on the due date in order to avail of a discounted charge."
Account,Can I re-avail?,There are many perks that customers can experience! You can: Have a higher chance for a credit limit increase Have a higher chance of availing cash loans Build your credit score (we submit relevant data to credit bureaus) Continue using BillEase for all your wants and needs!
Account,What is BillEase Auto-debit?,"Of course! As long as you have paid off your current installment plan, you can re-avail for another one immediately. What's more, loyal customers with good payment records can enjoy added features, such as higher credit limit, longer installment terms, cash loans, and other cool perks."
Auto Debit,How can I enable Auto-debit?,"BillEase Auto-debit is a payment option offered by BillEase in partnership with Alipay+ merchants. By authorizing a one-time account linking of your BillEase account with the merchant, the merchant can debit an amount from your available credit limit without requiring further confirmation such as One-time Password (OTP) or biometrics security. This payment option can be used for various payment scenarios including one-time and recurring payments."
Auto Debit,How can I change the payment setting of my Auto-debit with the merchant?,"The Auto-debit option is available through select Alipay+ merchants only. On the merchant site, select the Auto-debit => BillEase option in the payment method settings, then you will be redirected to BillEase to authorize the account linking. For an existing customer, just e-sign the Auto-debit agreement and set your repayment preferences for upcoming purchases that you will pay using the Auto-debit facility. For a new customer, complete the online registration process which will only take less than 5 minutes. Once registration is approved, you can continue the account linking."
Auto Debit,What if I see an unauthorized transaction?,Go to your BillEase account settings and click Auto-debit to view all your authorized Auto-debit arrangements with merchants. You can choose to unlink your account with the merchant or update your preferred payment settings for upcoming transactions.
Auto Debit,How to file a dispute regarding my Auto-debit transaction?,"The Auto-debit facility strictly requires authorization from you before we can link your account with the merchant. If you see a loan on your BillEase account that you don't recognize, go to your BillEase account settings > Auto-debit and update the merchant setting. If you no longer intend to authorize a merchant for future transactions, click on Unlink in the details page. If you don't want to accept a charged transaction, contact the merchant and request for a refund."
Auto Debit,What is Pay with Grace?,"To file a dispute for an Auto-debit transaction, please contact the merchant's customer service and provide identifiers such as order ID and/or transaction ID. Please note that only the Merchant can reverse an Auto-debit transaction and turn around time may vary per Merchant. Any decision regarding the dispute depends on the terms and conditions (T&C) you agreed with the merchant prior to the account linking. You may also contact BillEase by sending an email to [email protected] with all the relevant details then we will file a dispute on your behalf. Please note that your request for any reversal depends on Merchant's policy."
Pay with Grace,Why are the installment amounts the same even though it is claimed to be 0% interest?,"Pay with Grace is a flexible payment plan that offers a 3 or 6-month grace period with 0% interest. This allows customers to pay off their purchases within the grace period without incurring any interest charges. Currently, it's offered by default to select online and offline BillEase merchants."
Pay with Grace,What is the interest rate after the grace period?,"The installment amounts remain the same to ensure that your payments are evenly distributed across the total payment period. During the 0% interest grace period, you are not being charged any interest. The consistent installment amounts provide a clear and manageable payment structure, making it easier for you to plan your finances. No interest is applied to the payments made within the grace period."
Pay with Grace,What is the minimum and maximum purchase amount for Pay with Grace?,"After the initial grace period (e.g., 3 months), the interest rate is 3.49% for the remaining payment period."
Pay with Grace,What happens if my transaction amount is below the minimum purchase amount to avail Pay with Grace?,The minimum and maximum purchase amount to avail Pay with Grace depends on the merchant.
Pay with Grace,What if the merchant offers both 3 and 6 months Pay with Grace options?,"If the transaction amount does not reach the minimum required amount to avail Pay with Grace, the standard financing plan will be shown at checkout."
Pay with Grace,How long is the total payment period?,"You can avail Pay with Grace based on the minimum amount set by the merchant. For instance, if the minimum amount for 6 months is PHP 20,000, your purchase must be at least PHP 20,000 for the 6-month option. If your purchase is below this but meets the minimum for 3 months, you will get the 3-month option. If it doesn't meet the minimum for either, you'll get the standard financing plan."
Pay with Grace,What happens if I pay off the entire amount within the grace period?,"The total payment period can range from 9 to 12 months, including the initial 3 or 6-month grace period."
Pay with Grace,Can I make partial payments during the grace period?,"If you pay off the entire amount within the 3 or 6-month grace period, you will not be charged any interest."
Pay with Grace,What if I need more flexibility in payments?,"Yes, you can make scheduled installment payments or pay off the entire balance before the grace period ends, all while enjoying 0% interest."
Pay with Grace,Can I pay off the entire amount after the grace period?,"If you need more flexibility, you can follow the regular payment schedule and complete your installments over the 9 to 12-month period."
Pay with Grace,Is there a penalty for early payment?,"Once the grace period ends, you must follow the scheduled installment payments until the end of the 9 to 12-month period. You can also choose to pay all your installments with an interest rate."
Pay with Grace,Can I change the payment plan after selecting Pay with Grace?,"No, there is no penalty for early payment. You can complete your entire installment within the grace period without any additional fees."
Pay with Grace,What happens if I miss a payment during the grace period?,"Once you have selected the Pay with Grace plan, you cannot change the payment terms. However, you can choose to pay off the entire balance early within the grace period without incurring any interest."
Pay with Grace,How will I be notified of my payment schedule?,"If you miss a payment, the grace period will end and you will need to pay according to the original schedule including penalty fee incurred for late payment."
Pay with Grace,Can I choose between a 3-month and a 6-month grace period?,You will receive a detailed payment schedule via email and you can always check your payment schedule and balance through our mobile app (Installments > Active).
Pay with Grace,How do I know if my purchase qualifies for Pay with Grace?,"Yes, the grace period duration (3 or 6 months) is determined by the specific offer from the merchant. Be sure to check the offer details when making your purchase."
Pay with Grace,What should I do if I have questions about my installment plan?,"You will see the Pay with Grace option at checkout if your purchase meets the minimum and maximum amount criteria (PHP 2,000 to PHP 100,000). The option will also be highlighted if the merchant offers this payment plan."
Pay with Grace,What is Limit Boost™?,"For any questions or concerns about your installment plan, you can contact our customer support team via chatbot. They will be happy to assist you with any inquiries regarding your payment schedule or remaining balance."
Limit Boost,How do I activate Limit Boost™?,"Limit Boost™ is a feature that allows BillEase users to increase their purchase limits for transactions at over 10,000+ merchant partners. Perfect for when you're eyeing a bigger purchase than your current limit allows."
Limit Boost,Is there a fee for using Limit Boost™?,"To activate Limit Boost™, simply tap the Limit Boost™ icon in the BillEase app and submit a request. If you are eligible, your credit limit will be boosted immediately for your next purchase at your chosen merchant partner. At the checkout or cashier of a participating merchant partner, you'll automatically enjoy Limit Boost by selecting BillEase as your payment method, with no need to do anything else."
Limit Boost,How long does the Limit Boost™ last?,"No, there's no additional fee for requesting a Limit Boost™. It's just one of the perks of being a BillEase valued customer."
Limit Boost,Can I use Limit Boost™ for any purchase such as cash loan or e-wallet?,"The boosted limit is available for 3 days. If you don't use it or if you change your mind, you can cancel it and request a new one anytime."
Limit Boost,What happens if I don't use the Limit Boost™?,"Limit Boost™ can only be used for purchases with our merchant partners, which include over 10,000+ online and in-store merchant partners. However, it's not available for other loans or non-merchant transactions."
Limit Boost,How do I shop using Limit Boost™?,"If you don't use the Limit Boost™ within 3 days, it will expire. But don't worry, you can easily request a new one when you're ready for your next big purchase."
Limit Boost,Got more questions? Contact us!,"To shop at online partners, simply click 'Continue Shopping' and add items to your cart from your chosen merchant's website or app. Select BillEase as the payment option at checkout. To shop at in-store partners, just ask for the BillEase QR code at the payment counter. Open the BillEase app, click the Scan icon at the upper right corner and input the order amount."
